pair_speaker,text,from_ts,to_ts,utterance_from_ts,utterance_to_ts,original_utterance,speaker,pair
019_A,"Ja,",131.121,131.38725925925928,131.121,132.227,"Ja, oké, ik weet hem, ja.",A,019
019_A,"Ja,",132.895,133.18509836065576,132.895,134.159,"Ja, ik weet hem, die is heel raar.",A,019
019_A,H,134.686,135.2820425531915,134.686,135.652,*H* is het.,A,019
019_A,Hij,136.354,136.43787096774196,136.354,137.004,Hij is het is *H*.,A,019
019_A,"Oké,",138.672,139.3603559322034,138.672,141.061,"Oké, deze heeft een dienblad eigenlijk.",A,019
019_A,Er,141.369,141.45189655172413,141.369,142.571,Er zijn er twee met een dienblad.,A,019
019_A,Eh,143.191,143.2530338983051,143.191,144.411,Eh maar hij heeft pootjes.,A,019
019_A,Dus,144.451,144.53199999999998,144.451,146.557,Dus het lijkt wel alsof het kopje uit een bakje dringt.,A,019
019_A,Want,146.773,146.97784375,146.773,148.084,Want er zit een bakje bovenop.,A,019
019_A,Snap,149.075,149.1824074074074,149.075,149.655,Snap je welke ik bedoel?,A,019
019_A,Ehm,152.339,152.74644444444445,152.339,152.725,Ehm,A,019
019_A,Eh,155.71,156.01213362068967,155.71,160.383,"Eh ja, zeg maar, het het dienblad zit eigenlijk ehm bovenom het kopje.",A,019
019_A,Eh,161.295,161.788875,161.295,162.612,"Eh nee, het heeft",A,019
019_A,"nee,",162.7,162.89145454545454,162.7,163.402,"nee, dat is de andere.",A,019
019_A,Dat,163.476,163.537,163.476,165.123,Dat is de andere dat is die met die olifantenslurf.,A,019
019_A,Toch,165.613,165.935,165.613,165.912,Toch?,A,019
019_A,Die,166.238,166.32638095238096,166.238,166.702,Die jij bedoelt.,A,019
019_A,Maar,167.059,167.2253076923077,167.059,168.14,Maar het is de ander.,A,019
019_A,Dus,168.18,168.62374226804124,168.18,172.093,"Dus zeg maar, een dienblad, een beetje boven boven bij het kopje.",A,019
019_A,En,172.244,172.32619178082192,172.244,173.744,En dan staat er een bakje bovenop.,A,019
019_A,En,174.271,174.63409554140125,174.271,177.438,En die heeft achter heeft hij iets van een staartje zo omhoog zo,A,019
019_A,Ja,195.26,195.82596153846154,195.26,195.805,Ja?,A,019
019_A,"Wacht,",198.252,198.8953962264151,198.252,199.352,"Wacht, boven...",A,019
019_A,Ovaal,203.155,203.56772222222222,203.155,203.546,Ovaal?,A,019
019_A,Is,213.843,213.9247083333333,213.843,215.804,Is dat het soort gebouw die op de kop staat tegenaan?,A,019
019_A,Gewoon,220.973,221.15874468085107,220.973,221.943,Gewoon een olifantenslurf.,A,019
019_A,En,222.974,223.0550247933884,222.974,225.425,En dan boven een ovaal en naar links toe een ovaal.,A,019
019_A,"Ja,",226.915,227.23160714285714,226.915,227.506,"Ja, oké.",A,019
019_A,Dat,227.752,227.96075000000002,227.752,228.42,Dat is *D*.,A,019
019_A,"Ja,",229.333,229.69293103448277,229.333,229.947,"Ja, *D*.",A,019
019_A,Ehm,231.686,232.43101465201465,231.686,237.183,"Ehm deze heeft als enige echt nog, zeg maar, een iets onder een kop.",A,019
019_A,Een,237.319,237.38271999999998,237.319,237.85,Een soort van...,A,019
019_A,Ehm,238.62,239.67044776119403,238.62,240.0,Ehm hoe zeg je dat?,A,019
019_A,Een,240.02,240.08144705882353,240.02,241.761,Een soort van staaf met daaronder op een driehoek.,A,019
019_A,Zeg,241.781,241.86253846153846,241.781,243.371,Zeg maar alsof het kopje op een driehoek staat.,A,019
019_A,"Ja,",246.671,247.028,246.671,247.343,"Ja, precies.",A,019
019_A,"Ja,",247.383,247.76760000000002,247.383,248.024,"Ja, die ja.",A,019
019_A,Is,273.693,273.79449999999997,273.693,275.723,Is dat eh een soort van ober of zo?,A,019
019_A,Dat,275.881,276.1842374100719,275.881,278.691,"Dat rechte rondje, zeg maar, alsof hij zo'n eh dienblad vasthoudt.",A,019
019_A,En,279.696,279.7765510204082,279.696,283.643,"En dan die ander, zeg maar, ja, zo'n heel raar ding.",A,019
019_A,"Ja,",284.135,285.4658791208791,284.135,287.805,"Ja, gewoon een staaf uit de staaf of zo.",A,019
019_A,"Oké,",288.62,289.66644444444444,288.62,290.282,"Oké, dan is het *K*.",A,019
019_A,Ehm,292.147,292.7965319148936,292.147,295.009,Ehm deze heeft eh een plat vierkant tegen gich aan.,A,019
019_A,Zeg,295.061,295.20421311475405,295.061,296.309,Zeg maar alsof het een schild is.,A,019
019_A,En,296.842,296.96471578947364,296.842,298.785,En dan voor zich twee gebouwen.,A,019
019_A,En,299.224,299.30613793103447,299.224,300.415,En dan bovenop nog een paddenstoel.,A,019
019_A,Oh,314.76,314.96,314.76,314.935,(Oh),A,019
019_A,"Wacht,",324.52,324.74559999999997,324.52,325.648,"Wacht, welke, wat heeft hij?",A,019
019_A,Een,325.801,325.96658139534884,325.801,326.691,Een staaf er doorheen?,A,019
019_A,Oh,328.317,328.74344444444444,328.317,328.721,Oh!,A,019
019_A,Zeg,329.529,329.7920763358779,329.529,332.18,Zeg maar alsof de alsof er een zonnepaneel tegenaan staat.,A,019
019_A,"Zo,",332.503,332.67163157894737,332.503,333.304,"Zo, met zo'n eh",A,019
019_A,aan,334.044,334.149,334.044,334.674,aan de achterkant.,A,019
019_A,En,336.645,336.76624832214765,336.645,339.656,En dan een staaf met aan het uiteinde twee bolletjes van die staaf.,A,019
019_A,"Ja,",341.525,342.0521428571428,341.525,342.263,"Ja, ja.",A,019
019_A,"Oké,",342.567,343.05858620689656,342.567,343.755,"Oké, dan is het *B*.",A,019
019_A,Eh,345.511,345.8209056603774,345.511,346.606,Eh dit lijkt op een boot.,A,019
019_A,Zeg,347.531,347.7349705882353,347.531,348.918,"Zeg maar, een boot.",A,019
019_A,Zeg,349.218,349.35955958549226,349.218,353.121,"Zeg maar, voor zich heeft hij, als het ware, een ja kleine staaf.",A,019
019_A,En,353.141,353.2431,353.141,355.183,En dan daaruit komt ook weer zo'n staaf omhoog.,A,019
019_A,Een,355.205,355.33281818181814,355.205,355.908,Een kleine ronde.,A,019
019_A,En,356.263,356.36389068825906,356.263,361.247,"En bovenop heeft hij ehm eh, zeg maar, een lange staaf op zich.",A,019
019_A,Het,361.267,361.3912711864407,361.267,362.489,"Het zit best wel hoog, volgens mij.",A,019
019_A,En,363.332,364.0024634146341,363.332,365.831,"En twee, ja, ieniemienie-vleugels.",A,019
019_A,Het,365.851,365.9127910447761,365.851,367.231,"Het zijn niet echt vleugels, maar zo...",A,019
019_A,"Ja,",368.354,368.6659387755102,368.354,369.373,"Ja, hoe leg je dat uit?",A,019
019_A,Dus,370.005,370.2352978723404,370.005,370.989,"Dus m, ehm...",A,019
019_A,"Ja,",378.575,378.9211489361702,378.575,380.489,"Ja, ja, geen, ja echt een rechthoek is het.",A,019
019_A,Of,381.074,381.13512048192774,381.074,382.765,"Of nee, een meer een ja een lange staaf.",A,019
019_A,En,388.637,388.7183553719008,388.637,391.098,En dan nog twee van die mini-vleugels of zo.,A,019
019_A,"Ja,",391.138,391.328,391.138,391.708,"Ja, dat is hem.",A,019
019_A,Een,399.481,399.7317692307692,399.481,400.296,Een bakfiets?,A,019
019_A,Ehm..,408.797,409.37126923076926,408.797,409.35,Ehm...,A,019
019_A,Dus,423.823,423.9935,423.823,424.505,"Dus dat, ja.",A,019
019_A,Dus,424.843,425.02509659090913,424.843,428.404,Dus achter heeft hij een soort van plat vierkant waar twee van die gebouwen tegenaan staan.,A,019
019_A,En,429.085,429.18615107913666,429.085,431.897,En dan een neus eigenlijk en twee van die gekke uitsteksels.,A,019
019_A,Dat,434.087,434.23641379310345,434.087,434.706,Dat is het *O*.,A,019
019_A,"Ehm,",436.375,437.0891891891892,436.375,437.885,"Ehm, dit heeft eigenlijk...",A,019
019_A,"Ja,",438.166,438.36955555555556,438.166,439.998,"Ja, dit is het enige kopje die ergens op staat.",A,019
